takeoff_name,site_guide_url
Silecroft,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=SLC
Simons Fell,"Training site, contact Active Edge before flying https://www.activeedge.co.uk/"
Skiddaw,
Skirrid,
Slaggyford,
Slieve Gallion,
Sma Glen,
Snowdon,
Sourton,https://sdhgpc.org.uk/sites/sourton
South Cerney,
Southbourne,
Souther Fell,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=SRF
Sow Of Athol,
Sron A Gharbh Choire Bhig,
St Bees,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=SBS
St Catherines,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf
St. Aldhelms Head,
Staggs,https://www.dhpc.org.uk/site-guide/stags-fell
Stags Fell,https://www.dhpc.org.uk/site-guide/stags-fell
Stanage,https://derbyshiresoaringclub.org.uk/site-guide/stanage
Standon Hill,
Stoodley Pike,
Strath Rusdale,
Strathyre,
Stronend,
Struddick,
Sugar Hill,https://www.tvhgc.co.uk/sugar-hill
Sugar Loaf,
Suidhe Fhearghas,
Swallowcliff,http://www.wessexhgpg.org.uk/Sites/SiteGuide/Swallowcliffe.pdf
Swindale,
Swinside,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=SWS
Tailbridge,https://www.dhpc.org.uk/site-guide/tailbridge
Talybont,
Tap Onoth,
Tarmachan,
Telegraph Hill,
Threlkeld Knotts,
Thurnham,https://www.dfhgc.org/sites/thurnham
Tinto,
Tinto East,
Tinto Quarry,
Tops Of Fichell,
Tor Y Foel,
Treak Cliff,https://derbyshiresoaringclub.org.uk/site-guide/treak-cliff
Tremmaen,
Trentishoe,https://ndhpc.co.uk/sites_guide/trentishoe
Trethill,
Triscombe,
Troutbeck,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=TBK
Tudhope Hill,
Tunstall,
Ubley,http://www.avonhgpg.co.uk/sites/sites.php
Uffington,https://www.tvhgc.co.uk/uffington-white-horse
Ullock,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=ULP
Unknown,
Walla,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=WAC
Warren,https://www.dfhgc.org/sites/warren
Wasdale Screes,
West Lomond,
West Runton,
Westbury,http://www.avonhgpg.co.uk/sites/sites.php
Westward Ho!,https://ndhpc.co.uk/sites_guide/cornborough
Wether Fell,https://www.dhpc.org.uk/site-guide/wether-fell
Weybourne,
Whernside,https://www.dhpc.org.uk/site-guide/whernside
White Corries,
White Horse,http://www.wessexhgpg.org.uk/Sites/SiteGuide/WhiteHorse.pdf
White Mountain,
Whitehorse,
Whiteless Pike,
